CustomerID,DOB,Gender,Provider,AcquiredDate
3,12/31/1985,male,40492,06-10-2015
4,NULL,Male,airtel,06-10-2015
5,NULL,NULL,NULL,14-10-2015
6,NULL,NULL,NULL,14-10-2015
8,NULL,NULL,NULL,15-10-2015
9,NULL,NULL,NULL,15-10-2015
10,NULL,male,NULL,16-10-2015
11, ,Male,Vodafone IN,19-10-2015
12, ,Male,,22-10-2015
13,NULL,male,airtel,24-10-2015
14,NULL,Male,airtel,24-10-2015
18,NULL,male,NULL,26-10-2015
19,24-03-1980,Male,Airtel,26-10-2015
20,NULL,NULL,NULL,26-10-2015
21,NULL,NULL,NULL,27-10-2015
22,08-12-1984,Male,airtel,27-10-2015
23,NULL,NULL,NULL,27-10-2015
24,NULL,female,NULL,27-10-2015
25,NULL,NULL,NULL,27-10-2015
26,04/18/1991,female,Vodafone,27-10-2015
27,NULL,male,NULL,27-10-2015
28,NULL,female,NULL,27-10-2015
29,NULL,NULL,NULL,27-10-2015
30,NULL,NULL,NULL,27-10-2015
31,NULL,NULL,NULL,27-10-2015
32,NULL,male,NULL,27-10-2015
33,NULL,NULL,NULL,27-10-2015
34,NULL,NULL,NULL,27-10-2015
35,NULL,male,NULL,27-10-2015
36,NULL,male,NULL,27-10-2015
37,NULL,NULL,NULL,27-10-2015
38,NULL,male,NULL,27-10-2015
39,NULL,NULL,NULL,27-10-2015
40,NULL,NULL,NULL,27-10-2015
41,NULL,NULL,NULL,27-10-2015
42,NULL,NULL,NULL,27-10-2015
43,NULL,NULL,NULL,27-10-2015
44,NULL,female,NULL,27-10-2015
45,NULL,NULL,NULL,27-10-2015
46,NULL,NULL,NULL,27-10-2015
47,NULL,male,NULL,27-10-2015
48,NULL,Male,NULL,27-10-2015
49,NULL,NULL,NULL,27-10-2015
50,NULL,Female,NULL,27-10-2015
51,NULL,Female,NULL,27-10-2015
52,NULL,NULL,NULL,27-10-2015
53,NULL,male,NULL,27-10-2015
54,NULL,Female,NULL,27-10-2015
55,NULL,NULL,NULL,27-10-2015
56, ,Male,Airtel Maharashtra,27-10-2015
57,NULL,male,NULL,27-10-2015
58,NULL,NULL,NULL,27-10-2015
59,NULL,Male,NULL,27-10-2015
60,NULL,NULL,NULL,27-10-2015
61,NULL,male,NULL,27-10-2015
62,NULL,NULL,NULL,27-10-2015
63,NULL,male,NULL,27-10-2015
64,NULL,NULL,NULL,27-10-2015
65,NULL,NULL,NULL,27-10-2015
66,NULL,NULL,NULL,28-10-2015
67,NULL,Male,NULL,28-10-2015
68,NULL,female,NULL,28-10-2015
71,02-04-1988,Male,VODAFONE IN,28-10-2015
72,08-04-1978,Male,Airtel,28-10-2015
73,NULL,male,NULL,28-10-2015
75, ,Male,,28-10-2015
76,NULL,Male,NULL,28-10-2015
77,NULL,female,NULL,28-10-2015
78,NULL,NULL,NULL,28-10-2015
79,NULL,male,NULL,28-10-2015
80,NULL,Male,NULL,29-10-2015
81,NULL,Female,NULL,29-10-2015
82,NULL,male,airtel,29-10-2015
83,NULL,NULL,DOLPHIN,29-10-2015
84,NULL,female,Vodafone IN,29-10-2015
85,NULL,female,VODAFONE IN,29-10-2015
86,NULL,NULL,Vodafone IN,29-10-2015
87,NULL,NULL,Vodafone IN,29-10-2015
