Merchant_ID,Merchant_name,Merchant_Alexa_rank,Merchant_type
359,flipkart,79,Online
360,amazon,80,Online
361,indiatimes,107,Online
362,snapdeal,164,Online
363,godaddy,190,Online
364,nearbuy,264,Online
365,ebay,284,Online
366,rediff,329,Online
367,jabong,340,Online
368,paytm,349,Online
369,expedia,401,Online
370,hotels,424,Online
371,shopclues,507,Online
372,agoda,588,Online
373,hostgator,660,Online
374,bookmyshow,671,Online
375,airtel,690,Online
376,makemytrip,811,Online
377,bluehost,859,Online
378,hilton,877,Online
379,uber,1038,Online
380,air asia,1324,Online
381,askmebazaar,1346,Online
382,vistaprint,1526,Online
383,emirates,1762,Online
384,cleartrip,1815,Online
385,yatra,2068,Online
386,craftsvilla,2079,Online
387,pepperfry,2184,Online
388,qatar airways,2220,Online
389,dominos,2438,Online
390,goibibo,2593,Online
391,pizza hut,2757,Online
392,bigrock,2946,Online
393,resellerclub,3170,Online
394,fashion and you,3252,Online
395,homeshop18,3355,Online
396,infibeam,3520,Online
397,hotelscombined,3858,Online
398,tata docomo,3984,Online
399,firstcry,4121,Online
400,trendin,4138,Online
401,freecharge,4155,Online
402,ebags,4185,Online
403,bigbasket,4319,Online
404,limeroad,4433,Online
405,yepme,4589,Online
406,jet airways,4608,Online
407,redbus,4935,Online
408,lenskart,5278,Online
409,myntra,5282,Online
410,fabfurnish,5405,Online
411,rechargeitnow,5704,Online
412,koovs,5827,Online
413,etihad,5904,Online
414,gaadi,6170,Online
415,american swan,6236,Online
416,mirraw,6680,Online
417,naaptol,6950,Online
418,foodpanda,6974,Online
419,spicejet,7004,Online
420,printvenue,7295,Online
421,urban ladder,7859,Online
422,healthkart,8040,Online
423,zivame,8412,Online
424,ola cabs,8735,Online
425,aircel,9360,Online
426,airindia,9425,Online
427,shoppers stop,9535,Online
428,easemytrip,9611,Online
429,via,9942,Online
430,hostingraja,10096,Online
431,nykaa,10262,Online
432,wego,11093,Online
433,babyoye,11289,Online
434,simplilearn,11814,Online
435,indian gifts portal,12177,Online
436,zoomcar,13690,Online
437,bewakoof,14225,Online
438,purplle,14278,Online
439,zovi,14448,Online
440,bluestone,14555,Online
441,freecultr,15669,Online
442,fashionara,15762,Online
443,surpluss,15983,Online
444,cilory,16032,Online
445,hp online store,16646,Online
446,happily unmarried,16934,Online
447,indiarush,17114,Online
448,lybrate,17566,Online
449,titan,17814,Online
450,voylla,18060,Online
451,thomas cook,18171,Online
452,travelguru,18432,Online
453,localbanya,18639,Online
454,zopnow,18948,Online
455,caratlane,19764,Online
456,indianroots,20636,Online
457,stalk buy love,20996,Online
458,goair,21011,Online
459,abhibus,21041,Online
460,fabindia,22625,Online
461,printland,22728,Online
462,gobol,22809,Online
463,archies online,23003,Online
464,rewardme,23316,Online
465,easytobook,23347,Online
466,peachmode,23647,Online
467,hopscotch,23871,Online
