"PaymentID","OfferID","BankID","PaymentMode"
"24","11811","4",NULL
"25","11812","3",NULL
"26","11874","3",NULL
"27","11934","15",NULL
"28","12053","18",NULL
"29","12186","10",NULL
"30","12188","18",NULL
"31","12191","19",NULL
"32","12192","3",NULL
"33","12556","18",NULL
"34","12595","9",NULL
"35","14175","5",NULL
"36","14047","4",NULL
"37","14046","14",NULL
"38","13010","4",NULL
"39","13011","5",NULL
"40","13012","13",NULL
"41","13013","8",NULL
"42","13014","14",NULL
"43","13015","6",NULL
"44","13016","7",NULL
"45","13017","9",NULL
"46","13018","4",NULL
"47","13019","5",NULL
"48","13020","14",NULL
"49","13021","4",NULL
"50","13022","8",NULL
"51","13023","4",NULL
"52","13024","4",NULL
"53","13025","8",NULL
"54","13026","4",NULL
"55","13027","5",NULL
"56","13028","5",NULL
"57","13029","5",NULL
"58","13030","5",NULL
"59","13031","14",NULL
"60","13032","14",NULL
"61","13033","14",NULL
"62","13034","14",NULL
"63","13035","8",NULL
"64","13036","8",NULL
"65","13037","8",NULL
"66","13038","13",NULL
"67","13039","13",NULL
"68","13040","13",NULL
"69","13041","6",NULL
"70","13042","6",NULL
"71","13043","6",NULL
"72","13044","7",NULL
"73","13045","7",NULL
"74","13046","7",NULL
"75","13047","9",NULL
"76","13048","9",NULL
"77","13049","9",NULL
"78","13050","4",NULL
"79","13051","4",NULL
"80","13052","8",NULL
"81","13053","8",NULL
"82","13054","5",NULL
"83","13055","5",NULL
"84","13056","14",NULL
"85","13057","14",NULL
"86","13058","13",NULL
"87","13059","13",NULL
"88","13060","6",NULL
"89","13061","6",NULL
"90","13062","7",NULL
"91","13063","7",NULL
"92","13064","9",NULL
"93","13065","9",NULL
"94","13066","4",NULL
"95","13067","8",NULL
"96","13068","5",NULL
"97","13069","14",NULL
"98","13070","13",NULL
"99","13071","6",NULL
"100","13072","7",NULL
"101","13073","8",NULL
"102","13074","9",NULL
"103","13075","5",NULL
"104","14045","13",NULL
"105","14044","7",NULL
"106","14043","6",NULL
"107","14042","9",NULL
"108","13157","3",NULL
"109","13158","3",NULL
"110","13171","15",NULL
"111","13206","4",NULL
"112","14062","16",NULL
"113","14104","16",NULL
"114","14105","16",NULL
"115","14106","16",NULL
"116","14107","16",NULL
"117","14108","16",NULL
"118","13340","4",NULL
"119","14140","15",NULL
"120","13817","6",NULL
"121","13819","6",NULL
"122","13841","7",NULL
"123","13843","8",NULL
"124","13930","8",NULL
"125","13942","13",NULL
"126","13943","4",NULL
"127","13944","6",NULL
"128","14299","18",NULL
"129","14258","4",NULL
"130","14259","3",NULL
"131","14260","12",NULL
"132","14261","6",NULL
"133","14313","15",NULL
"134","14328","6",NULL
"135","14333","16",NULL
"136","14360","15",NULL
"137","14384","7",NULL
"138","14385","4",NULL
"139","14411","17",NULL
"143","14442","11",NULL
"144","14445","16",NULL
"145","14446","16",NULL
"146","14447","16",NULL
"147","14449","16",NULL
"148","14450","16",NULL
"149","14451","16",NULL
"150","14452","16",NULL
"151","14453","16",NULL
"152","14417","5","Wallet"
"153","14417","0",
"154","14417","0",
"173","14498","16",NULL
"174","14513","11",NULL
"176","14561","8",NULL
"177","14561","12",NULL
"178","14568","5",NULL
"179","14570","7",NULL
"180","14574","4",NULL
"181","14575","3",NULL
"182","14576","3",NULL
"183","14577","6",NULL
"184","14581","4",NULL
"185","14582","9",NULL
"186","14583","9",NULL
"187","14584","7",NULL
"188","14585","4",NULL
"189","14586","14",NULL
"190","14590","18",NULL
"191","14591","15",NULL
"192","14612","10",NULL
"193","14613","10",NULL
"194","14615","5",NULL
"195","14624","12",NULL
"196","14645","8",NULL
"197","14645","12",NULL
"198","14646","8",NULL
"199","14646","12",NULL
"200","14679","9",NULL
"201","14729","9",NULL
"202","14744","9",NULL
"203","14745","9",NULL
"204","14770","12",NULL
"205","14771","6",NULL
"206","14772","13",NULL
"207","14846","15",NULL
"208","14850","12",NULL
"209","14851","12",NULL
"210","14852","6",NULL
"211","14853","6",NULL
"212","14854","13",NULL
"213","14855","13",NULL
"214","14864","15",NULL
"215","14896","6",NULL
"216","14896","12",NULL
"217","14896","13",NULL
"218","14917","5",NULL
"219","14918","3",NULL
"220","14919","13",NULL
"221","14920","11",NULL
"222","14922","4",NULL
"223","14959","18",NULL
"224","14960","3",NULL
"225","14961","3",NULL
"226","14963","16",NULL
"227","14964","16",NULL
"228","14965","6",NULL
"229","14966","6",NULL
"230","14968","6",NULL
"231","14970","5",NULL
"232","14971","5",NULL
"233","14972","3",NULL
"234","14973","3",NULL
"235","14974","13",NULL
"236","14975","12",NULL
"237","14976","6",NULL
"238","14982","15",NULL
"239","14999","5",NULL
"240","15000","9",NULL
"241","15001","3",NULL
"242","15002","12",NULL
"243","15003","6",NULL
"244","15004","13",NULL
"245","15009","11",NULL
"246","15011","7",NULL
"247","15013","16",NULL
"248","15014","16",NULL
"249","15015","16",NULL
"250","15016","16",NULL
"251","15017","16",NULL
"252","15018","16",NULL
"253","15019","16",NULL
"254","15058","7",NULL
"255","15062","18",NULL
"256","15063","4",NULL
"257","15116","16",NULL
"261","15172","15",NULL
"262","15173","15",NULL
"263","15174","15",NULL
"264","15227","3",NULL
"265","15229","4",NULL
"266","15230","5",NULL
"267","15231","6",NULL
"268","15232","9",NULL
"269","15233","9",NULL
"270","15234","7",NULL
"271","15235","7",NULL
"272","15239","18",NULL
"273","15240","15",NULL
"274","15243","11",NULL
"275","15245","14",NULL
"276","15246","9",NULL
"277","15250","4",NULL
"278","15251","4",NULL
"279","15252","10",NULL
"280","15253","3",NULL
"281","15274","4",NULL
"282","15275","4",NULL
"283","15276","4",NULL
"284","15282","18",NULL
"285","15283","19",NULL
"286","15284","3",NULL
"287","15285","3",NULL
"288","15286","3",NULL
"289","15300","16",NULL
"290","15301","16",NULL
"291","15304","16",NULL
"292","15305","16",NULL
"293","15306","16",NULL
"294","15307","16",NULL
"295","15314","16",NULL
"296","15322","16",NULL
"297","15324","15",NULL
"298","15369","18",NULL
"299","15420","15",NULL
"300","15431","15",NULL
"301","15433","16",NULL
"302","15434","16",NULL
"303","15435","16",NULL
"304","15436","16",NULL
"305","15437","16",NULL
"306","15438","16",NULL
"307","15439","16",NULL
"308","15440","16",NULL
"309","15441","16",NULL
"310","15442","16",NULL
"311","15444","15",NULL
"312","15452","4",NULL
"313","15455","15",NULL
"314","15488","16",NULL
"315","15491","15",NULL
"316","15502","15",NULL
"317","15543","8",NULL
"318","15547","5",NULL
"319","15555","19",NULL
"320","15557","15",NULL
"321","15586","15",NULL
"323","15636","5",NULL
"324","15716","15",NULL
"325","15778","15",NULL
"326","15784","15",NULL
"327","15798","16",NULL
"328","15829","20","Card"
"329","15864","7",NULL
"330","15874","15",NULL
"331","15907","4",NULL
"332","15908","18",NULL
"333","15946","15",NULL
"334","15972","18",NULL
"335","15977","7",NULL
"336","15996","16",NULL
"337","16002","6",NULL
"338","16026","16",NULL
"339","16033","16",NULL
"340","16034","7",NULL
"341","16035","7",NULL
"342","16036","15",NULL
"343","16129","16",NULL
"344","16130","16",NULL
"345","16131","16",NULL
"346","16132","16",NULL
"347","16133","16",NULL
"348","16146","16",NULL
"349","16147","16",NULL
"350","16176","18",NULL
"351","16177","18",NULL
"352","16178","18",NULL
"353","16179","18",NULL
"354","16180","18",NULL
"355","16181","18",NULL
"356","16187","18",NULL
"357","16200","15",NULL
"358","16211","18",NULL
"359","16231","16",NULL
"360","16275","13",NULL
"361","16288","6",NULL
"362","16290","13",NULL
"363","16306","7",NULL
"364","16374","15",NULL
"365","16380","15",NULL
"366","16385","15",NULL
"367","16410","15",NULL
"368","16414","15",NULL
"369","16424","15",NULL
"370","16487","9",NULL
"371","16488","9",NULL
"372","16489","9",NULL
"373","16490","7",NULL
"374","16491","7",NULL
"375","16492","7",NULL
"376","16493","6",NULL
"377","16494","6",NULL
"378","16495","6",NULL
"379","16496","13",NULL
"380","16497","13",NULL
"381","16498","13",NULL
"382","16499","8",NULL
"383","16500","8",NULL
"384","16501","8",NULL
"385","16502","14",NULL
"386","16503","14",NULL
"387","16504","14",NULL
"388","16505","14",NULL
"389","16506","5",NULL
"390","16507","5",NULL
"391","16508","5",NULL
"392","16509","5",NULL
"393","16510","8",NULL
"394","16511","4",NULL
"395","16512","4",NULL
"396","16513","4",NULL
"397","16514","4",NULL
"398","16515","8",NULL
"399","16516","14",NULL
"400","16517","5",NULL
"401","16518","4",NULL
"403","16524","16",NULL
"404","16525","16",NULL
"405","16526","16",NULL
"406","16527","16",NULL
"407","16531","3",NULL
"408","16540","18",NULL
"410","16565","4",NULL
"411","16616","15",NULL
"412","16627","15",NULL
"414","16657","16",NULL
"415","16669","4",NULL
"416","16719","9",NULL
"417","16761","16",NULL
"418","16765","15",NULL
"419","16769","4",NULL
"420","16769","5",NULL
"421","16770","4",NULL
"422","16778","15",NULL
"423","16816","4",NULL
"424","16883","16",NULL
"425","16884","16",NULL
"426","16885","16",NULL
"427","16886","16",NULL
"428","16887","16",NULL
"429","16888","16",NULL
"430","16892","4",NULL
"431","16893","15",NULL
"432","16898","12",NULL
"433","16899","12",NULL
"434","16904","12",NULL
"435","16905","12",NULL
"436","16906","12",NULL
"437","16907","4",NULL
"438","16908","6",NULL
"439","16909","6",NULL
"440","16910","6",NULL
"441","16911","6",NULL
"442","16912","6",NULL
"443","16913","4",NULL
"444","16914","4",NULL
"445","16915","4",NULL
"446","16916","4",NULL
"447","16917","4",NULL
"448","16918","13",NULL
"449","16919","13",NULL
"450","16920","13",NULL
"451","16921","13",NULL
"452","16922","13",NULL
"453","16926","5",NULL
"454","16978","16",NULL
"455","16979","16",NULL
"456","16980","16",NULL
"457","16981","16",NULL
"458","16982","16",NULL
"459","16984","13",NULL
"460","17008","13",NULL
"467","17178","16",NULL
"468","17179","16",NULL
"469","17180","16",NULL
