"ShopID","ShopName","Address","Landmark","Area","City","Pincode","Latitude","Longitude","State","StartTime","EndTime","OpenMonday","OpenTuesday","OpenWednesday","OpenThursday","OpenFriday","OpenSaturday","OpenSunday","CheckOpen","StorePhoneAreaCode","StorePhoneNumber","MerchantID","ShopAddDate","MallFlag","ShopActive","ShopSource","ShopSourceValue","ShopAddedBy","ShopEditedBy","ShopLastEdited"
"11","Everygreen Eye Vision","Shop No 13, Nagardas Park","Near Old Nagardas Road Post Office","Andheri East","Mumbai","400069","19.1218","72.8505","Maharashtra","00:00:00","00:00:12","0","1","1","1","1","1","1",NULL,,,"971","2015-10-07","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"12","The Time Store","A-1, Ashish Bldg, Sahar Road, Opp. Agarkar Chowk","Near Railway Station","Andheri East","Mumbai","400069","19.1179","72.8482","Maharashtra","00:00:00","00:00:10","1","1","1","1","1","1","1",NULL,,,"972","2015-10-07","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"13","Global Fusion","Shop No 3, Ram Niketan building, Koldongri","Sahar Road","Andheri East","Mumbai","400069","19.111278","72.849886","Maharashtra","09:00:00","22:00:00","1","0","1","1","1","1","1",NULL,,,"973","2015-10-07","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"14","Naman Collection","Shop - 4, ram Niketan Building, Koldongri","Sahar Road","Andheri east","Mumbai","400069","19.111381","72.849875","Maharashtra","10:00:00","21:00:00","1","0","1","1","1","1","1",NULL,,,"976","2015-10-07","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"15","Wonder Living Furniture","Shop No 4 & 5, Gokul Arcade, A wing, Sahar Road","Near Garware Ployster","Vile Parle","Mumbai","400057","19.109963","72.851922","Maharashtra","11:30:00","21:00:00","1","0","1","1","1","1","1",NULL,,,"977","2015-10-07","N",NULL,NULL,NULL,NULL,NULL,NULL
"27","Divyam","opp-mukund hospital,Andheri Kurla Road","Andheri Kurla Road","J. B. Nagar","Mumbai","400059","19.1122169","72.8667273","Maharashtra","10:30:00","21:30:00","1","1","1","1","1","1","1",NULL,NULL,"02228365876","978","2015-10-08","N",NULL,NULL,NULL,NULL,NULL,NULL
"28","Divyam ","Shop No 4 Adarsh Society, Nehru Road,near-hdfc bank","opp. Sabari Hotel","Vile Parle East","Mumbai","400057","19.097731","72.848713","Maharashtra","10:30:00","21:30:00","1","1","1","1","1","1","1",NULL,NULL,"9323726665","978","2015-10-08","N",NULL,NULL,NULL,NULL,NULL,NULL
"29","Divyam","Shop No 22, Ganga Niwas,opp-icchaapurti hanuman temple , Link Road","Opp Ichapurti Hanuman Temple","Malad West ","Mumbai","400064","19.185046","72.835210","Maharashtra","11:00","22:00","1","1","1","1","1","1","1",NULL,NULL,"02228441235","978","2015-10-08","N",NULL,NULL,NULL,NULL,NULL,NULL
"30","Sambhav Electronics","Naseeb Manzil, Sahar Road, Koldongri","Sahar Road","Andheri East","Mumbai","400069","19.112905","72.848276","Maharashtra","11:00:00","21:30:00","1","0","1","1","1","1","1",NULL,NULL,"2226827445","979","2015-10-09","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"31","Maharashtra","6, Halwai Nagar, Koldongri","Sahar Road","Andheri East","Mumbai","400069","19.11081","72.850765","Maharashtra","09:00:00","21:30:00","1","1","1","1","1","1","1",NULL,NULL,"2226826867","980","2015-10-09","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"32","Excellence","Sajid Tower, S. V. Road","opp. Amboli Railway Crossing","Andheri West","Mumbai","400058","19.129407","72.847188","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"2226798786","981","2015-10-09","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"33","Better Home","Shop No. 2, Blesan Apartment, S. V. Road, Amboli Naka","Opp. Amboli Church","Andheri West","Mumbai","400058","19.127541","72.846785","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"976973735","982","2015-10-09","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"34","Reshma Furnishing & Mattresses","Shop No 5, S. V. Road","Nr. Amboli Naka Signal","Andheri West","Mumbai","400058","19.127724","72.846893","Maharashtra","10:00:00","21:00:00","1","1","1","1","1","1","1",NULL,NULL,"9821786286","983","2015-10-09","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"35","Sidrah Sales","All types of Bags, Hand Luggage, Soft Bag Packs, Haver Sack Bags, Travel Bags, Laptop Bags, Gym Bags, Office Bag, Leather Office Bags, Leather Laptop Bag and Ladies Purse","Opp.  Bhatia Classes","Andheri West","Mumbai","400058","19.122911","72.846349","Maharashtra","10:00:00","21:30:00","1","1","1","1","1","1","1",NULL,NULL,"8454997034","984","2015-10-09","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"36","Kanco","S. V. road","Near Post Office","Andheri West","Mumbai","400058","19.121466","72.84601","Maharashtra","10:30:00","21:30:00","1","1","1","1","1","1","1",NULL,NULL,"9820250555","985","2015-10-09","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"37","Mahalaxmi Collection","Shop No. 4 Thankar Building, S. V. Road, Andheri Naka","Under Metro Bridge","Andheri West","Mumbai","400058","19.121814","72.846073","Maharashtra","10:00:00","21:30:00","1","1","1","1","1","1","1",NULL,NULL,"768287491","986","2015-10-09","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"38","Bavlee","Old Nagardas Road","Old Nagardas Road","Andheri East","Mumbai","400069","19.120552","72.849435","Maharashtra","10:00:00","21:00:00","1","1","1","1","1","1","1",NULL,NULL,"2228353957","987","2015-10-10","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"39","Tribal Zone","3, Riyaz House, Irla Road","Irla Road","Vile Parle West","Mumbai","400056","19.108355","72.838588","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"02226713621","988","2015-10-10","N",NULL,NULL,NULL,NULL,NULL,NULL
"40","Prince","6, Arif Mansion","Irla Society Road","Vile Parle West","Mumbai","400056","19.108125","72.839718","Maharashtra","10:30:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"02226716072","989","2015-10-10","N",NULL,NULL,NULL,NULL,NULL,NULL
"41","Apsara - The Mobile Shop","2/59, Alankar Bldg, Sagar Road, Nr. Railway Station","Opp. Better Home","Andheri East","Mumbai","400069","19.117483","72.84823","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"9004292958","990","2015-10-10","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"42","Momento","16-A, Kalpita Enclave, Sahar Road","Sahar Road","Andheri East","Mumbai","400069","19.112905","72.848276","Maharashtra","10:00:00","22:30:00","1","1","1","1","1","1","1",NULL,NULL,"9167909525","991","2015-10-10","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"43","Blush Salon","Shop No 2, Bhatt Building","Old Nagardas Road","Andheri East","Mumbai","400069","19.123874","72.85109","Maharashtra","10:30:00","21:00:00","1","1","1","1","1","1","1",NULL,NULL,"2228312669","992","2015-10-12","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"44","Blush Salon","Shop No 19, Satellite Garden Phase 2,","Film City Road","Goregaon East","Mumbai","400063","19.173426","72.874134","Maharashtra","10:30:00","21:00:00","1","1","1","1","1","1","1",NULL,NULL,"2228411982","992","2015-10-12","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"45","Awesome - unisex Salon","Shiv Ashish, S.V. Road","Near vijay Sales, Opp. Bank of Maharashtra","Andheri West","Mumbai","400058","19.11333","72.841947","Maharashtra","08:00:00","21:00:00","1","1","1","1","1","1","1",NULL,NULL,"2226280010","994","2015-10-12","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"46","Ujala Furnishing Center","E-11, Deepawali Building, Shop No. 3, S.V. Road","Near M.A. High School","Andheri West","Mumbai","400058","19.118034","72.844858","Maharashtra","11:00:00","21:00:00","1","1","1","1","1","1","1",NULL,NULL,"2226280634","995","2015-10-12","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"47","Jinal Designer Studio","Shop No 10/11, Madhav Nagar, S. V. Road","Next to BSES Sub. Stn","Andheri West","Mumbai","400058","19.1191","72.845248","Maharashtra","10:30:00","21:30:00","1","1","1","1","0","1","1",NULL,NULL,"2226288634","996","2015-10-12","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"48","Azka Collection","Shop No B/4, Super Market, Sakinaka","Opp. Maharashtra Weigh, below metro station","Andheri East","Mumbai","400072","19.10315","72.888228","Maharashtra","10:30:00","23:00:00","1","1","1","1","1","1","1",NULL,NULL,"970271114","997","2015-10-12","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"49","Concept - Fancy Hardware","Shop No. 7/8, Shah Apartment, Marol Maroshi Road, Near Temptation Hote","Behind SBI Bus Stop","Andheri East","Mumbai","400059","19.115459","72.879811","Maharashtra","10:00:00","20:00:00","0","1","1","1","1","1","1",NULL,NULL,"2229255047","998","2015-10-13","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"50","Jai Bhawani Jewelers","Plot No. 18-A, 14/15, Bhavni Nagar"," M. M. Road","Andheri East","Mumbai","400059","19.119916","72.88002","Maharashtra","09:30:00","21:30:00","1","0","1","1","1","1","1",NULL,NULL,"2229259274","999","2015-10-13","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"51","Morange Professional Salon","Shop No 2, Bamanpuri CHS, Kanti Nagar, J. B. Nagar","Opp. Gnaesh Mandir","Andheri East","Mumbai","400059","19.109026","72.86555","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"9820304859","1000","2015-10-13","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"52","Prem & Sons Family Shop","Shop No.5, Gulmohar Apts, Vijay Nagar,  Marol Maroshi Road, Marol","Opp. St. Vincent Palloti Church","Andheri East","Mumbai","400059","19.120965","72.879757","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"29205255","1001","2015-10-13","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"53","Choice Bakers & Fast Food","Asad Compound, Marol Pipe Line Bus stop","Opp. Mukund Hospital","Andheri East","Mumbai","400059","19.110792","72.872093","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"2228301746","1002","2015-10-13","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"54","Choice Center","5/5 Greenland Apartments, J. B. Nagar","Greenland Apartments","Andheri East","Mumbai","400059","19.110758","72.866676","Maharashtra","09:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"2228342397","1003","2015-10-13","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"55","Sweetlime","Shop. No. 1, Jay Ganesh Society, J. B. Nagar","Opp. Monarch park","Andheri East","Mumbai","400059","19.1086","72.864762","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"9820304859","1004","2015-10-13","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"56","Chouhan Furnishing","Mastan Estate, Marol Maroshi Road, ","M.M. Road","Andheri East","Mumbai","400059","19.112482","72.879252","Maharashtra","09:00:00","21:00:00","1","0","1","1","1","1","1",NULL,NULL,"2229251273","1005","2015-10-16","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"57","Cantabil Retail India ","Shop No D-7, Mukund Nagar, C.H.S.L, Andheri Kurla Road, Marol Pipe Line","Near Mukund Hospital","Andheri East","Mumbai","400059","19.077389","72.917641","Maharashtra","11:00:00","21:30:00","1","1","1","1","1","1","1",NULL,NULL,"2228200274","1006","2015-10-16","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"58","Ruchira Jewelers","18/C/31, Bhavani Nagar Shopping Center, M.M. Road","Opp. Seven Hills Hospital","Andheri East","Mumbai","400059","19.111864","72.879028","Maharashtra","09:30:00","21:30:00","1","0","1","1","1","1","1",NULL,NULL,"22292011098","1007","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"59","Neptune - Family Dining","Andheri Kurla Road, Marol","Below Marol Naka Metro Station","Andheri East","Mumbai","400059","19.117301","72.884039","Maharashtra","11:00:00","23:00:00","1","1","1","1","1","1","1",NULL,NULL,"7506712612","1008","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"60","Classic Luggage","Shop No. 14, Pranik Chambers, Saki Vihar Road","Sakinanaka Junction","Andheri East","Mumbai","400072","19.114684","72.888993","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"2228576353","1009","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"61","Gini & Jony","Saki Vikar Road","Saki Naka junction","Andheri East","Mumbai","400072","19.114684","72.888993","Maharashtra","10:30:00","21:30:00","1","1","1","1","1","1","1",NULL,NULL,"2228572858","1010","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"62","Shubham Jewelers","72, 99, Galleria, Hiranandani gardens","Opp. ICICI ATM","Powai","Mumbai","400076","19.1193858","72.9116404","Maharashtra","09:30:00","20:30:00","1","1","1","1","1","1","1",NULL,NULL,"02225717170","1012","2015-10-20","N",NULL,NULL,NULL,NULL,NULL,NULL
"63","Shubham Jewelers","Shop no 2, Nahar Business Center, Chandivali Farm Road, Chandivali","Nahar","Andheri East","Mumbai","400072","19.114667","72.895123","Maharashtra","09:30:00","20:30:00","1","1","1","1","1","1","1",NULL,NULL,"2228572511","1012","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"64","Ashraf Salon","Shop No A-8, Nahar Amrit Shakti Road,  Opp Lokmilan building, Chandivali","Nahar Shopping Complex","Andheri East","Mumbai","400072","19.118171","72.890492","Maharashtra","09:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"2228574164","1013","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"65","Mumbai Masala","Shop No 9, Shiv Om Complex, Chandivali","Near ICICI Bank","Andheri East","Mumbai","400072","19.118171","72.890492","Maharashtra","11:00:00","00:00:00","1","1","1","1","1","1","1",NULL,NULL,"7738873142","1014","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"66","Red & Blue ","Shop No 8, Marol Maroshi Road","Opp. Seven Hills Hospital","Andheri East","Mumbai","400059","19.117093","72.88018","Maharashtra","09:30:00","22:30:00","1","1","1","1","1","1","1",NULL,NULL,"2229201773","1015","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"67","Blush Salon & Spa","Shop No. 7/8, Abbas Manzil, CTS 605, Chakala Road","Chakala Road","Andheri East","Mumbai","400099","19.107906","72.858783","Maharashtra","10:00:00","22:00:00","1","1","1","1","1","1","1",NULL,NULL,"2228259470","1017","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"68","Classic Furnishing & Mattreses","Plot No. 44, Shop No. 2, Tarun Bharat Society, Chakala","Tarun Bharat Society","Andheri East","Mumbai","400099","19.108089","72.861841","Maharashtra","10:00:00","22:00:00","1","0","1","1","1","1","1",NULL,NULL,"9821866182","1018","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"70","Beauty Furnishing Foam Center","Gurushri Building, Plot No. 11, Shop No 3, Tarun Bharat Society, Chakala","Tarun Bharat Society","Andheri East","Mumbai","400099","19.107862","72.860449","Maharashtra","09:30:00","21:30:00","1","0","1","1","1","1","1",NULL,NULL,"2228312746","1019","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"71","Paradise Furnishing","Darshan Classic Building, Shop No. 4, J.B. Nagar","Near Darshan Classic Buidling","Andheri East","Mumbai","400099","19.108089","72.861841","Maharashtra","09:00:00","21:00:00","1","0","1","1","1","1","1",NULL,NULL,"9867132990","1020","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"72","Kala Mandir NX","Shop No. 8/9, Swami vivekanand Society, Chakala",,"Andheri East","Mumbai","400099","19.1154401","72.8316142","Maharashtra","10:00:00","21:00:00","1","0","1","1","1","1","1",NULL,NULL,"2228306824","1021","2015-10-20","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
"73","Lucky Hardware Stores","1&2, Krishna Bhuvan, P.P. Road Andheri East","Opp. Sona Udyog","Andheri East","Mumbai","400069","19.1257390","72.8534100","Maharashtra","09:00:00","21:00:00","1","1","1","1","1","1","0",NULL,NULL,"2260609011","1022","2015-10-21","N",NULL,NULL,NULL,NULL,"Monish","2016-02-09 00:00:00"
